n,mean,std,skew,excess_kurtosis,min,max,jarque_bera,jb_pvalue,adf_stat,adf_pvalue,kpss_stat,kpss_pvalue,hill_gamma,tail_alpha,k,gpd_xi,evt_var99,evt_cvar99,gauss_var99,hist_var99,kupiec_gauss_rate,kupiec_gauss_p,kupiec_evt_rate,kupiec_evt_p,symbol,year,month
44639,3.41e-06,0.000999,-0.3401,20.66,-0.01711,0.02241,794426,0.0,-32.27,0.0,0.0794,0.1,0.3530,2.833,1116,0.2295,0.002779,0.004062,0.002321,0.002782,0.01613,,0.01001,,BTCUSDT,2024,2024-03
44639,-2.06e-06,0.000958,0.2025,86.89,-0.03359,0.03036,14041790,0.0,-27.93,0.0,0.0968,0.1,0.4099,2.440,1112,0.2765,0.002649,0.004105,0.002230,0.002675,0.01584,,0.01030,,BTCUSDT,2024,2024-08
44639,-2.40e-06,0.000586,-0.0402,135.14,-0.02164,0.02382,33969866,0.0,-27.69,0.0,0.6628,0.0169,0.3779,2.646,1071,0.2384,0.001635,0.002446,0.001366,0.001635,0.01604,,0.00999,,BTCUSDT,2026,2026-01
43199,2.61e-06,0.000538,0.1456,12.89,-0.00664,0.00848,299368,0.0,-52.73,0.0,0.0773,0.1,0.3507,2.851,1057,0.1989,0.001496,0.002135,0.001249,0.001508,0.01625,,0.01028,,BTCUSDT,2026,2026-04
44639,1.94e-06,0.001095,-0.2655,21.42,-0.02407,0.02386,853868,0.0,-29.22,0.0,0.1332,0.1,0.3421,2.923,1116,0.2301,0.003012,0.004389,0.002545,0.002994,0.01575,,0.00983,,ETHUSDT,2024,2024-03
44639,-5.64e-06,0.001262,-6.363,486.98,-0.08136,0.04151,441394873,0.0,-27.39,0.0,0.1735,0.1,0.4296,2.328,1111,0.3391,0.003204,0.005258,0.002942,0.003184,0.01178,,0.00990,,ETHUSDT,2024,2024-08
44639,-4.31e-06,0.000859,0.6682,413.80,-0.04305,0.04902,318478873,0.0,-27.89,0.0,0.7120,0.0125,0.4040,2.475,1088,0.2775,0.002289,0.003572,0.002003,0.002312,0.01416,,0.01022,,ETHUSDT,2026,2026-01
43199,1.63e-06,0.000683,0.1091,14.60,-0.01128,0.00974,383708,0.0,-65.60,0.0,0.1103,0.1,0.3718,2.690,1059,0.2265,0.001918,0.002814,0.001587,0.001922,0.01648,,0.01007,,ETHUSDT,2026,2026-04
44639,1.41e-05,0.002579,-0.2963,24.88,-0.05285,0.05085,1152212,0.0,-29.93,0.0,0.0989,0.1,0.3572,2.800,1103,0.2985,0.006779,0.010289,0.005986,0.006748,0.01402,,0.00990,,DOGEUSDT,2024,2024-03
44639,-4.16e-06,0.001337,-0.3866,62.49,-0.04446,0.03009,7264736,0.0,-27.33,0.0,0.1177,0.1,0.3739,2.674,1059,0.2138,0.003711,0.005473,0.003115,0.003640,0.01561,,0.00966,,DOGEUSDT,2024,2024-08
44639,-2.69e-06,0.001113,-0.1823,328.16,-0.04781,0.05667,200301312,0.0,-28.42,0.0,0.7633,0.01,0.3723,2.686,1049,0.2981,0.002757,0.004274,0.002592,0.002728,0.01156,,0.00970,,DOGEUSDT,2026,2026-01
43199,3.31e-06,0.000782,0.7316,66.99,-0.02155,0.02745,8081593,0.0,-47.46,0.0,0.0954,0.1,0.3678,2.719,978,0.2628,0.002097,0.003148,0.001816,0.002071,0.01468,,0.00970,,DOGEUSDT,2026,2026-04
