symbol,days,cfg,total,mdd,cvar,trades
BTCUSDT,57,baseline,-0.2209,-0.2924,0.0026,1236
BTCUSDT,57,optimized,-0.1341,-0.1481,0.0022,306
BTCUSDT,57,optimized+EVT,-0.1301,-0.1345,0.0012,208
BTCUSDT,57,optimized+EVT+CVaR,-0.1032,-0.1069,0.0010,208
ETHUSDT,82,baseline,-0.4221,-0.4369,0.0033,1741
ETHUSDT,82,optimized,-0.0572,-0.1644,0.0028,476
ETHUSDT,82,optimized+EVT,-0.0773,-0.1043,0.0017,363
ETHUSDT,82,optimized+EVT+CVaR,-0.0731,-0.0854,0.0014,363
DOGEUSDT,366,baseline,-0.9625,-0.9689,0.0058,7823
DOGEUSDT,366,optimized,-0.7163,-0.7390,0.0044,1897
DOGEUSDT,366,optimized+EVT,-0.5441,-0.6228,0.0031,1651
DOGEUSDT,366,optimized+EVT+CVaR,-0.4834,-0.5235,0.0021,1651
